project_name,probability
perco-0.025,0.025
perco-0.050,0.050
perco-0.075,0.075
perco-0.100,0.100
perco-0.125,0.125
perco-0.150,0.150
perco-0.175,0.175
perco-0.200,0.200
perco-0.225,0.225
perco-0.250,0.250
perco-0.275,0.275
perco-0.300,0.300
perco-0.325,0.325
perco-0.350,0.350
perco-0.375,0.375
perco-0.400,0.400
perco-0.425,0.425
perco-0.450,0.450
perco-0.475,0.475
perco-0.500,0.500
perco-0.525,0.525
perco-0.550,0.550
perco-0.575,0.575
perco-0.600,0.600
perco-0.625,0.625
perco-0.650,0.650
perco-0.675,0.675
perco-0.700,0.700
perco-0.725,0.725
perco-0.750,0.750
perco-0.775,0.775
perco-0.800,0.800
perco-0.825,0.825
perco-0.850,0.850
perco-0.875,0.875
perco-0.900,0.900
perco-0.925,0.925
perco-0.950,0.950
perco-0.975,0.975
perco-1.000,1.000